name,a,b,c
meantragicness,7.141835759,0.503611539,-0.134217004
meanpatheticism,6.03116067,0.531907372,-1.96850269
meanthwackability,6.330924488,1.688350172,1.868637302
meandivinity,5.33410044,1.393253982,1.670149138
meanmoxie,8.517448711,0.834762894,1.895665368
meanmusclitude,5.211592108,1.455262552,-2.961974444
meanmartyrdom,5.225000491,0.725241067,2.323357219
maxthwackability,8.754798405,1.828420628,1.564051697
maxdivinity,1.615697518,1.329302839,1.005876184
maxmoxie,2.484814126,0.342809525,-2.863533186
maxmusclitude,8.367209349,2.3383441,-2.829429781
maxmartyrdom,4.534922831,0.271221196,-2.316739796
meanlaserlikeness,9.742195951,1.546922195,-1.126472164
meanbasethirst,1.695064764,0.889938636,0.863982259
meancontinuation,8.34822847,2.000915556,1.06657584
meangroundfriction,2.626088412,1.592548105,2.385444421
meanindulgence,3.18217294,0.599029008,1.248676183
maxlaserlikeness,8.889518938,1.583091375,-0.566306861
maxbasethirst,8.482056868,1.503685653,-1.642106236
maxcontinuation,6.993114218,1.680567368,-2.136884855
maxgroundfriction,4.249528268,0.473084595,2.162069786
maxindulgence,3.480568672,1.416297739,-1.455887403
unthwackability,1.745518254,2.588207284,2.309943752
ruthlessness,8.827172927,0.932838482,2.7667274
overpowerment,4.217588037,0.050821976,-1.903501566
shakespearianism,1.04042001,1.809579481,2.669060547
coldness,3.703538684,0.674617722,-0.570112055
meanomniscience,1.854276484,1.607250927,2.58613989
meantenaciousness,0.640313352,1.102861087,2.168676787
meanwatchfulness,2.31169723,2.12725658,-2.537657604
meananticapitalism,5.27465895,0.432909418,-0.852764063
meanchasiness,6.112073675,2.042758542,-1.083810921
maxomniscience,2.083457367,2.365646867,0.599744892
maxtenaciousness,3.321554752,0.769805978,-0.624342065
maxwatchfulness,8.722576947,2.018623797,-0.98550069
maxanticapitalism,7.170114458,2.813589853,1.007559189
maxchasiness,8.131811478,0.630769677,-0.225363637
